inventory_id,family,file,function,line_range_text,line_start,line_end,implementation_count,primary_visibility,risk_level,remediation_priority,scope,intent,acceptance_status,typical_fallback_behavior
CFM-001,输入 / 标准化族,core/algorithms/priority_constants.py,normalize_priority,18-31,18,31,2,完全静默,中,P2,read_side_or_parameter_normalization,compatibility_contract,pending,空值/未知优先级回 default，非法 default 再回 normal
CFM-002,输入 / 标准化族,core/algorithms/priority_constants.py,priority_weight_scaled,34-41,34,41,1,完全静默,低,P3,read_side_or_parameter_normalization,compatibility_contract,pending,scale 解析失败回 100
CFM-003,输入 / 标准化族,core/algorithms/sort_strategies.py,parse_strategy,160-172,160,172,1,完全静默,中,P2,read_side_or_parameter_normalization,compatibility_contract,pending,空值/非法策略统一回默认策略
CFM-004,输入 / 标准化族,core/algorithms/dispatch_rules.py,parse_dispatch_rule,31-38,31,38,1,完全静默,中,P2,read_side_or_parameter_normalization,compatibility_contract,pending,非法派工规则回默认规则
CFM-005,输入 / 标准化族,core/algorithms/greedy/config_adapter.py,cfg_get,6-26,6,26,2,完全静默,中,P2,read_side_or_parameter_normalization,compatibility_contract,pending,getattr/get 读取异常时继续探测并最终回 default
CFM-006,输入 / 标准化族,core/algorithms/greedy/date_parsers.py,parse_date,7-21,7,21,1,完全静默,低,P3,read_side_or_parameter_normalization,compatibility_contract,pending,日期解析失败返回 None
CFM-007,输入 / 标准化族,core/algorithms/greedy/date_parsers.py,parse_datetime,24-41,24,41,2,完全静默,低,P3,read_side_or_parameter_normalization,compatibility_contract,pending,多格式轮询失败后返回 None
CFM-008,输入 / 标准化族,core/models/_helpers.py,get,19-27,19,27,1,完全静默,中,P2,read_side_or_parameter_normalization,compatibility_contract,pending,sqlite3.Row 下标访问失败回 default
CFM-009,输入 / 标准化族,core/models/_helpers.py,parse_int,30-71,30,71,4,完全静默,中,P2,read_side_or_parameter_normalization,compatibility_contract,pending,float/str/Decimal 任一解析链路失败都回 default
CFM-010,输入 / 标准化族,core/models/_helpers.py,parse_float,74-98,74,98,1,完全静默,中,P2,read_side_or_parameter_normalization,compatibility_contract,pending,非法/非有限数回 default
